CustomerID,Gender,Age,Annual Income (Rs.),Spending Score (1-100),Time Spent in Mall (minutes),Visits per Month,Distance from Home (km),Has Credit Card,Preferred Shop Type
83,Male,61,560591,84,239,28,13.72,0,Furniture
84,Female,62,,31,188,12,22.29,1,Furniture
85,Male,59,589503,69,42,18,39.9,0,Clothing
86,Male,64,1285300,88,143,28,30.68,1,Furniture
87,Female,30,903492,33,199,5,5.97,0,Grocery
88,Male,39,246393,72,19,23,31.57,,Electronics
89,Female,38,745484,88,5,23,9.74,0,Clothing
90,Female,39,551426,50,139,22,25.76,0,Clothing
91,Female,45,1231916,84,5,26,26.69,0,Grocery
92,Female,26,451994,16,53,10,43.87,1,Electronics
93,Female,43,1124488,76,100,12,23.39,1,Furniture
94,Female,26,787999,77,205,8,14.33,1,Furniture
95,Female,,889538,39,161,19,11.93,0,Electronics
96,Female,27,1209670,89,30,15,43.78,1,Electronics
97,Female,41,1100922,46,91,1,8.97,0,Grocery
98,Female,59,615590,96,177,3,21.58,0,Furniture
99,Female,25,1267374,88,239,27,9.77,0,Grocery
100,Male,41,1052458,,97,18,38.78,1,Furniture
101,Male,33,351604,44,106,18,23.98,0,Furniture
102,Female,66,260130,9,229,2,17.88,1,Electronics
103,Female,43,958596,87,75,5,18.37,1,Grocery
104,Female,44,840955,50,144,29,42.68,0,Electronics
105,Female,54,180257,77,99,1,27.91,1,Grocery
106,Female,21,557427,60,164,10,36.03,0,Furniture
107,Female,67,1032421,96,122,20,44.9,0,Clothing
108,Female,41,1072736,15,152,10,45.14,1,Clothing
109,Female,36,1135257,36,123,5,16.76,0,Grocery
110,Male,53,1251267,63,55,18,47.65,0,Grocery
111,Female,56,568829,69,85,21,1.73,,Electronics
112,Male,,688314,86,40,26,19.15,1,Furniture
113,Female,42,899450,80,71,15,44.84,1,Clothing
114,,35,693898,41,133,20,14.09,1,Electronics
115,Male,36,475329,74,118,8,14.02,0,Grocery
116,Female,53,1008999,24,159,17,15.48,0,Furniture
117,Male,27,1191482,82,115,12,30.81,1,Electronics
118,Female,50,972614,49,172,21,22.2,1,Electronics
119,Female,67,1068074,18,229,27,36.47,1,Grocery
120,Male,22,693576,,216,12,44.8,1,Furniture
121,Female,64,1015256,4,146,26,33.87,1,Clothing
122,Male,66,150917,90,104,1,10.62,0,Electronics
123,Female,52,1162544,69,201,26,46.67,1,Grocery
124,Male,61,1001007,60,219,26,13.59,0,Electronics
125,Male,51,1008950,55,113,4,7.92,0,Grocery
126,Female,50,927475,16,124,8,4.95,0,Grocery
127,Female,38,1237680,,83,1,28.39,0,Grocery
128,Male,34,823422,90,138,27,6.13,1,Furniture
129,Female,39,429143,82,165,15,7.37,0,Clothing
130,Female,65,412091,29,187,18,15.35,1,Furniture
131,Female,54,553157,23,23,1,14.44,0,Clothing
132,Male,32,735457,14,131,11,30.41,1,Grocery
133,Male,52,1353118,79,209,23,40.93,1,Clothing
134,Male,45,1328320,49,33,2,38.19,0,Furniture
135,Male,24,209821,33,193,1,13.49,1,Electronics
136,Male,49,399265,25,202,12,12.64,0,Furniture
137,Male,28,587651,21,211,16,48.31,1,Furniture
138,Male,27,424336,17,212,22,0.91,0,Furniture
139,Male,26,,23,28,22,44.05,0,Furniture
140,Male,31,1285371,57,155,10,10.39,1,Furniture
141,Female,30,1363735,81,14,18,47.39,1,Clothing
142,Male,42,478821,58,186,15,17.44,0,Clothing
143,Female,19,,14,109,17,22.3,0,Electronics
144,Female,52,393877,93,173,10,35.5,1,Furniture
145,Female,24,1070759,20,181,3,29.59,0,Furniture
146,Male,38,286285,30,149,26,16.24,0,Electronics
147,Male,35,1300988,19,188,21,27.91,0,Electronics
148,Male,20,266545,53,177,16,36.67,1,Grocery
149,Male,59,824533,56,162,6,2.6,0,Electronics
150,Female,56,935945,77,176,3,1.05,0,Electronics
151,Male,58,436663,82,206,9,23.17,1,Electronics
152,,66,931163,23,59,11,7.03,0,Grocery
153,Male,28,1144453,62,151,21,33.39,,Clothing
154,Male,56,164995,33,161,13,11.1,0,Grocery
155,Male,41,173559,18,6,18,,0,Clothing
156,Female,63,671244,73,168,26,10.28,1,Electronics
157,Male,36,548237,33,151,22,27.65,0,Grocery
158,Female,21,772288,32,139,28,6.24,0,Grocery
159,Male,43,594755,61,158,24,1.64,0,Clothing
160,Female,55,638051,54,211,,3.03,0,Grocery
161,Male,59,975782,17,115,22,47.74,0,Grocery
162,Male,49,589439,19,42,4,7.54,1,Furniture
163,Female,56,1224093,91,135,22,35.57,1,Clothing
164,Female,62,565466,,106,24,3.86,0,Grocery
165,Female,63,626111,99,212,8,5.85,0,Grocery
166,Male,53,1025564,34,198,13,25.69,1,
167,Female,57,634282,84,99,10,23.51,1,Furniture
168,Male,54,671396,25,96,2,47.6,1,Furniture
169,Male,50,1304262,68,75,8,47.27,0,Electronics
170,Female,53,1097272,74,226,6,39.09,0,Electronics
171,Female,20,869778,74,175,16,30.3,0,Electronics
172,Male,26,1184451,88,194,18,23.02,0,Electronics
173,Male,25,458974,85,203,,18.13,0,Furniture
174,Female,50,202446,11,232,6,47.38,0,Grocery
175,Female,23,1172582,91,225,13,30.34,1,Grocery
176,Female,58,861943,16,28,23,29.16,1,Electronics
177,Male,56,1094734,90,171,14,11.98,0,Clothing
178,Male,21,290148,61,72,26,2.81,0,Electronics
179,Male,30,181085,94,132,21,47.29,0,Grocery
180,Male,66,674006,80,97,10,16.03,1,Clothing
181,Male,19,1204326,7,48,24,22.41,1,Electronics
182,Male,22,490912,16,137,11,6.17,1,Clothing
183,Female,61,185903,99,59,13,41.93,1,Electronics
184,Male,44,762242,16,225,12,1.87,0,Furniture
185,Male,49,662493,40,162,9,41.78,1,Grocery
186,Male,38,1155489,12,33,4,7.44,1,Electronics
187,Female,25,1019446,35,158,7,44.38,0,Clothing
188,Male,55,791593,21,215,24,36.62,0,Grocery
189,Male,25,350753,50,158,29,8.65,0,Electronics
190,Female,67,182101,43,41,22,28.51,1,Electronics
191,Male,20,152775,100,223,2,15.98,0,Electronics
192,Male,61,640399,17,,7,9.32,1,Electronics
193,Male,20,195619,32,119,29,43.03,1,Furniture
194,Male,39,562755,41,185,9,20.47,1,Grocery
195,Male,23,215149,6,162,5,20.23,1,Furniture
196,Female,19,176616,88,7,15,8.91,0,Grocery
197,Female,40,896055,27,126,18,19.46,0,Electronics
198,Female,61,356903,20,47,4,43.65,1,Grocery
199,Male,19,1188218,25,11,19,18.47,0,Clothing
200,Male,55,502365,66,129,20,47.6,1,Grocery
201,Male,34,1051311,9,53,26,47.34,1,Clothing
202,Female,52,437623,92,125,7,7.67,,Clothing
203,Male,51,511309,53,77,26,9.28,0,Furniture
204,Male,40,205863,61,45,8,43.2,1,Grocery
205,Female,47,645654,38,110,17,19.94,0,Electronics
206,Male,69,927635,3,81,13,,1,Grocery
207,Female,25,863340,84,211,24,14.06,0,Furniture
208,Female,39,1150460,70,186,21,30.08,1,Clothing
209,Female,61,428495,97,131,28,40.06,1,Clothing
210,Male,53,1333779,55,201,23,7.1,0,Furniture
211,Male,22,397908,1,225,11,5.97,0,Furniture
212,Male,30,981257,70,231,27,46.14,1,Grocery
213,Male,46,751982,45,95,1,37.68,0,Clothing
214,Male,48,1083334,98,159,2,29.69,0,Furniture
215,Male,64,850033,47,12,17,38.57,1,Grocery
216,Male,33,1063438,79,36,5,21.73,1,Grocery
217,Female,59,894822,26,216,6,38.04,0,Electronics
218,Male,47,719354,14,68,26,18.9,0,Clothing
219,Female,33,284445,54,142,25,12.58,1,Grocery
220,Male,29,553551,71,17,24,36.59,1,Furniture
221,Male,34,1091245,46,195,7,21.27,1,Clothing
222,Male,33,719829,31,97,28,49.08,1,Furniture
223,,29,1363705,88,167,21,17.8,1,Furniture
224,Female,25,741271,59,65,15,,1,Grocery
225,Female,37,303837,95,186,19,46.68,1,Grocery
226,Female,20,864647,29,12,16,12.47,1,Electronics
227,Male,33,1057179,96,33,25,40.01,0,Furniture
228,Female,47,1021535,17,99,13,21.94,0,Grocery
229,Male,62,327597,14,45,5,45.92,0,Electronics
230,Male,40,1185408,36,162,3,22.78,1,Clothing
231,Female,45,628454,58,218,3,37.34,0,Electronics
232,Female,68,1009625,24,153,19,23.61,1,Electronics
233,Female,57,646440,63,208,14,11.78,0,Furniture
234,Female,22,926372,91,15,16,10.37,1,Clothing
235,Female,37,795303,25,6,22,21.56,1,Furniture
236,Female,57,322257,59,182,17,37.9,0,Furniture
237,Female,61,445599,32,173,27,30.45,1,Electronics
238,Female,18,1095522,82,198,4,34.59,0,Electronics
239,,47,466363,18,230,,14.48,0,Grocery
240,Female,38,982423,37,135,8,24.33,0,Electronics
241,Female,37,747904,26,84,19,2.7,,Grocery
242,Male,23,266841,9,183,5,40.97,,Furniture
243,Female,39,319934,99,200,2,49.5,0,Electronics
244,Male,35,1285270,64,91,15,20.64,0,Clothing
245,Male,25,387068,72,216,2,1.04,0,Clothing
246,Female,56,980288,20,157,11,8.9,0,Furniture
247,Male,49,251407,54,162,13,32.8,1,Furniture
248,Male,50,1001161,86,214,23,30.8,1,Electronics
249,Male,33,728641,83,110,10,39.5,0,Grocery
250,Male,29,855356,30,143,3,13.07,1,Electronics
251,Female,55,186683,53,225,5,38.3,1,Grocery
252,Male,69,1312667,92,21,3,34.56,0,Electronics
253,Female,51,267797,99,158,6,16.48,0,Clothing
254,Male,31,474934,63,27,13,27.5,1,Clothing
255,Male,53,435713,11,188,10,7.79,0,Grocery
256,Male,50,947583,31,184,19,22.9,0,Electronics
257,Male,40,614310,49,52,8,44.12,0,Furniture
258,Female,67,707242,100,24,18,21.35,1,Grocery
259,Female,62,1180488,94,6,3,42.06,0,Clothing
260,Male,19,918223,87,92,24,29.72,1,Grocery
261,Male,58,259373,19,35,24,10,0,Electronics
262,Female,38,708988,12,159,17,29.26,0,Furniture
263,Male,19,1160540,15,134,8,25.55,1,Furniture
264,Male,44,1322304,31,82,10,20.23,0,Grocery
265,Male,26,1003220,43,8,2,6.42,1,Electronics
266,Female,18,1064424,37,145,12,21.13,1,Electronics
267,Female,28,1016491,79,232,23,4.1,0,Furniture
268,Female,20,1069134,29,167,6,5.39,0,Clothing
269,Male,69,,26,132,2,21.09,,Electronics
270,Male,40,982583,2,204,21,15.62,1,Furniture
271,Female,43,592136,84,198,23,46.31,0,Furniture
272,Female,21,,15,138,24,19.1,0,Electronics
273,Female,35,661162,4,35,3,38.01,,Electronics
274,Female,23,623573,86,142,17,26.75,0,
275,Male,52,479125,50,25,29,35.35,0,Clothing
276,Female,39,1057383,38,238,7,13.38,1,Grocery
277,Male,60,1059531,23,206,29,47.12,1,Grocery
278,Female,32,1280548,59,27,21,26.74,1,Furniture
279,Male,39,1253298,90,135,5,41.65,1,Furniture
280,Female,54,331890,75,164,23,,0,Clothing
281,Female,69,1097436,28,152,1,5.46,1,Grocery
282,Female,59,,66,206,8,33.85,0,Grocery
283,Female,29,420741,8,33,12,0.88,0,Furniture
284,Male,64,1008823,29,109,14,24.03,0,Furniture
285,Female,66,889574,11,56,16,10.04,0,Electronics
286,Male,59,475437,18,119,10,31.56,0,Grocery
287,,55,306877,55,178,15,48.98,1,Clothing
288,Male,35,1022834,50,166,21,23.49,0,Grocery
289,Male,62,593066,14,105,24,40.97,0,Furniture
290,Female,52,484923,74,88,26,25.64,0,Electronics
291,Male,47,769696,99,65,15,25.04,1,Grocery
292,Male,41,270062,9,129,10,46.56,0,Clothing
293,Male,59,1210676,99,204,21,44.55,0,Furniture
294,Female,47,1182499,11,75,28,39.4,0,Electronics
295,Female,31,1028878,63,74,7,15.16,1,Grocery
296,Female,23,384196,76,143,,27.48,0,Clothing
297,Female,20,357609,67,112,3,11.58,1,Furniture
298,Male,33,825302,53,214,,22.47,1,Clothing
299,Male,24,433006,39,238,6,24.47,0,Grocery
300,Female,69,423813,78,225,21,41.67,1,Furniture
301,Male,31,1057651,56,221,9,44.85,1,Grocery
302,Male,26,859132,28,195,10,21.02,0,Electronics
303,Male,32,423022,75,25,4,1.38,0,Grocery
304,Female,38,939417,39,135,27,43.16,0,Electronics
305,Female,52,,25,86,3,9.13,0,Grocery
306,Male,19,431075,21,92,9,31.28,,Clothing
307,Female,44,1291452,10,115,24,1.74,1,Clothing
308,Female,19,674624,43,234,22,20.28,0,Furniture
309,Female,52,979365,15,14,17,49.31,0,Clothing
310,Female,35,1152403,83,159,14,5.48,0,Clothing
311,Female,31,743792,48,16,10,21.47,1,Electronics
312,Male,37,773502,86,11,13,15.7,0,Clothing
313,Female,35,,21,149,12,45.3,1,Electronics
314,Male,27,166279,60,197,27,43.53,1,Electronics
315,Male,42,1302327,96,196,1,12.27,1,Electronics
316,Female,19,1269962,50,118,28,4.52,1,Grocery
317,Male,42,236124,23,30,22,31.54,0,Electronics
318,Male,50,,13,19,29,17.15,0,Grocery
319,Male,53,241911,69,37,19,33.77,0,Electronics
320,Female,48,1035050,4,66,19,2.09,1,Grocery
321,Female,31,872030,92,233,6,7.1,1,Furniture
322,Male,18,1143978,78,51,13,34.48,0,Furniture
323,Female,63,597244,72,99,19,11.01,1,Grocery
324,Female,33,526036,9,39,13,42.95,1,Furniture
325,Female,63,387723,35,197,27,3.4,1,Clothing
326,Female,69,988927,21,204,26,11.17,0,Electronics
327,Male,20,232806,58,80,22,49.93,0,Grocery
328,Male,52,881893,18,127,21,21.94,0,Furniture
329,Female,58,1124334,97,87,4,35.3,1,Furniture
330,Female,23,1142144,72,29,24,9.54,0,Clothing
331,Male,42,347478,81,61,2,30.69,0,Electronics
332,Male,30,637436,43,36,15,36.44,0,
333,Female,51,639709,95,67,12,16.07,1,Grocery
334,Male,25,587585,98,16,27,41.53,1,Furniture
335,Female,38,507546,6,67,7,30.37,1,Furniture
336,Female,51,967108,86,81,20,19.76,1,Furniture
337,Male,21,1000525,78,96,18,28.1,1,Clothing
338,Male,42,331871,67,5,23,29.05,0,Clothing
339,Female,32,491558,12,183,13,,0,Electronics
340,Female,21,,100,74,17,20.44,,Grocery
341,Male,62,917442,12,140,4,17.5,1,Electronics
342,Female,29,625278,66,200,25,20.34,0,Electronics
343,Male,49,444067,2,137,14,38.17,1,Furniture
344,Female,49,529593,15,221,20,24.39,,Clothing
345,Male,45,644955,23,90,28,47.05,1,Grocery
346,Male,30,1196195,29,224,13,15.04,1,Electronics
347,Male,48,796045,81,43,3,21.08,1,Grocery
348,Female,31,967459,96,27,26,39.45,0,Furniture
349,Female,37,840824,7,72,26,27.53,0,Electronics
350,Male,35,300528,94,184,18,27.58,1,Clothing
351,Female,46,618011,28,8,14,3.14,1,Electronics
352,Male,23,447698,14,130,15,20.23,0,Furniture
353,Male,49,874687,44,179,3,13.9,1,Electronics
354,Female,46,896760,30,25,1,49.97,0,Furniture
355,Female,60,448783,81,233,26,15.76,1,Electronics
356,Male,19,1287613,32,188,24,44.28,0,Grocery
357,Female,40,898423,70,109,17,33.97,0,Clothing
358,Female,36,168074,88,70,3,17.38,1,Furniture
359,Male,48,820909,6,191,14,27.4,1,Grocery
360,Male,68,906967,27,11,3,42.11,0,Furniture
361,Female,22,726553,82,53,13,44.23,1,Electronics
362,Male,36,166061,88,20,15,8.44,0,Furniture
363,Male,51,1358458,24,149,18,17.31,1,Furniture
364,Female,27,603222,34,88,14,17.09,1,Clothing
365,Male,42,787790,40,91,21,2.58,1,Grocery
366,Male,19,652175,47,102,26,30.11,0,Electronics
367,Female,28,781516,79,79,3,42.81,0,Clothing
368,Female,67,356548,75,38,19,19.39,1,Furniture
369,Male,48,600983,86,165,8,37.13,0,Clothing
370,Male,32,618535,24,30,4,31.57,1,Furniture
371,Female,26,646005,65,70,4,19.09,0,Electronics
372,Female,40,850757,18,129,19,7.48,1,Furniture
373,Female,36,1211809,44,67,11,35.61,0,Clothing
374,Female,26,916565,76,91,1,42.8,0,Clothing
375,Male,52,633236,57,45,8,34.45,0,Furniture
376,Female,38,1002159,28,218,15,1.38,0,Grocery
377,Female,26,778423,71,190,1,11.2,0,Clothing
378,Male,45,520608,23,102,7,3.94,0,Grocery
379,Female,63,367314,85,128,21,28.73,1,Grocery
380,Male,68,687970,34,83,20,37.95,1,Grocery
381,Female,24,304455,11,14,20,5.97,0,Grocery
382,Female,33,898692,86,19,24,42,1,Clothing
383,Female,33,435810,35,46,11,28,0,
384,Male,50,577858,93,97,27,34.65,1,Grocery
385,Male,21,684522,42,189,29,48.58,1,Clothing
386,Female,21,731904,28,219,14,4.64,1,Grocery
387,Male,56,421365,82,21,22,45.11,1,Grocery
388,Male,57,1341058,78,192,16,6.74,0,Grocery
389,Male,34,866773,82,13,14,19.95,1,Furniture
390,Male,,1199627,92,118,12,42.65,1,Electronics
391,Male,56,228116,24,40,17,45.36,1,Clothing
392,Male,69,534370,8,205,14,25.57,0,Clothing
393,Female,46,669385,53,212,10,29.91,1,Grocery
394,Female,69,,72,40,24,35.55,0,Furniture
395,Male,53,281379,4,52,29,41.72,0,Furniture
396,Female,55,1136399,,55,14,6.51,1,Clothing
397,Female,56,376256,100,101,18,40.6,0,Grocery
398,Female,67,972376,5,123,22,24.32,1,Clothing
399,Female,54,1035987,97,99,9,22.81,1,Grocery
400,Male,69,712422,49,74,17,21.48,1,Grocery
401,Female,52,570539,98,78,6,25.71,1,Electronics
402,Female,24,352834,30,84,8,47.28,1,Grocery
403,Male,44,700242,72,72,26,27.64,1,Electronics
404,Male,45,860381,63,154,13,47.68,1,Clothing
405,Female,39,901287,,81,18,9.42,0,Clothing
406,Female,31,676249,26,212,5,36.34,0,Furniture
407,Female,24,686785,57,120,6,40.71,1,Electronics
408,Female,54,575767,37,225,21,34.12,1,Clothing
409,Female,39,949687,98,10,19,30.54,0,Electronics
410,Female,22,285639,7,158,4,28.46,1,Clothing
411,,19,910177,40,79,7,,,Electronics
412,Female,44,1218965,92,92,4,41.17,0,Electronics
413,Female,38,473720,39,225,25,6.55,1,Grocery
414,Male,55,1194846,62,7,11,42.51,1,Clothing
415,Male,32,980351,92,56,12,21,0,Furniture
416,Male,38,887463,78,78,14,13.06,0,Grocery
417,Male,27,153358,53,129,13,43.55,1,Furniture
418,Female,40,500679,4,192,29,21.89,1,Electronics
419,Female,56,651110,82,195,10,40.51,0,Grocery
420,Female,22,357596,25,69,18,13.54,0,Electronics
421,Female,18,780270,7,56,16,0.69,0,Clothing
422,Female,30,378129,28,239,5,25.03,1,Clothing
423,Female,38,478953,69,222,8,5.46,1,Furniture
424,Male,43,767367,67,80,14,37.84,1,Clothing
425,Female,67,,95,146,5,14.17,0,Furniture
426,Male,62,312421,20,93,26,22.46,0,Electronics
427,Male,38,1011465,83,76,28,4.81,1,Grocery
428,Female,35,388483,11,239,24,14.69,0,Clothing
429,Male,54,542551,67,72,8,39.18,,Electronics
430,Female,62,,87,160,25,8,0,Grocery
431,Male,49,420146,7,203,26,32.53,0,Electronics
432,Female,53,257524,23,142,6,45.91,0,
433,Male,34,368306,61,119,16,34.15,1,Electronics
434,Female,52,1061289,71,61,28,40.65,1,Furniture
435,Female,66,694026,34,232,4,5.89,1,Furniture
436,Female,28,263776,19,70,12,12.91,1,Clothing
437,Female,38,330494,58,94,11,44.78,1,Furniture
438,Female,69,342971,9,54,3,35.9,0,Furniture
439,,43,1079896,48,18,12,32.16,,Electronics
440,Male,21,427785,82,20,5,33.36,0,Furniture
441,Male,51,418449,41,186,6,,1,Furniture
442,Female,69,903622,48,175,19,2.71,0,Electronics
443,Male,65,386371,45,46,18,39.33,0,Grocery
444,Female,35,752251,25,213,16,34.1,0,Clothing
445,Female,57,796275,78,114,23,23.9,1,Electronics
446,Male,52,274591,25,26,11,45.04,0,Furniture
447,Male,58,742054,19,72,5,17.14,0,Electronics
448,Female,46,680799,39,23,9,15.07,1,Grocery
449,Male,69,789104,79,70,3,43.7,1,Electronics
450,Female,46,650981,80,171,8,39.95,0,Electronics
451,Female,55,923720,27,77,6,25.99,1,Electronics
452,Female,59,1093681,,151,4,6.97,0,Electronics
453,Female,38,416909,63,148,12,11.15,1,Furniture
454,Female,59,1350002,68,58,12,32.98,0,Electronics
455,Male,30,1358468,19,157,25,19.56,0,Grocery
456,Male,66,1310152,28,116,21,41.91,1,Electronics
457,Female,58,1133667,85,22,16,47.52,1,Electronics
458,Female,34,1276101,78,155,10,40.38,1,Furniture
459,Male,26,163780,33,121,22,19.19,1,Furniture
460,Male,58,418733,10,89,14,39.54,0,Electronics
461,Female,18,1030096,83,143,13,17.9,1,Furniture
462,Male,19,1113443,30,43,9,8.77,0,Furniture
463,Female,65,254188,22,109,7,2.15,0,Electronics
464,Male,46,767614,3,72,12,19.59,0,Furniture
465,Female,50,,82,29,5,45.23,1,Clothing
466,Male,27,,75,195,18,12.33,0,Clothing
467,Female,67,1224477,48,228,4,10.72,0,Clothing
468,Male,57,617927,2,162,2,48.51,1,Furniture
469,Male,38,799285,76,177,3,1.74,0,Clothing
470,Female,45,447584,54,127,26,39.4,0,Grocery
471,Male,28,1042015,,222,12,16.41,0,Clothing
472,Female,51,730971,40,125,3,2.36,1,Grocery
473,Male,25,536350,93,65,4,45.93,0,Furniture
474,Female,39,322502,94,104,6,,,Clothing
475,Male,25,924107,2,55,12,27.81,0,Grocery
476,Female,66,1004741,73,102,19,14.07,1,Furniture
477,Male,32,982359,2,141,10,3.73,1,Clothing
478,,34,1062935,93,208,1,2.97,1,Electronics
479,Male,40,599777,97,6,17,6.22,0,Clothing
480,Female,41,291449,74,234,16,4.03,0,Clothing
481,Female,62,727880,98,9,9,38.15,0,Clothing
482,Female,36,1336995,55,194,25,24.54,0,Electronics
483,Male,22,445920,72,201,21,17.47,,Grocery
484,Female,49,1071287,60,,9,21.21,1,Grocery
485,Male,61,285370,97,90,27,46.48,0,Electronics
486,Female,18,1006636,6,137,23,45.58,0,Clothing
487,Male,40,1022639,19,191,9,35.93,1,Clothing
488,Female,54,598377,96,72,12,44.29,1,Clothing
489,Male,25,997084,27,13,23,16.32,0,Grocery
490,Male,30,641830,1,97,9,19.36,1,Grocery
491,Female,25,1066004,33,154,15,30.88,1,Electronics
492,Male,40,393767,40,159,2,31.37,1,Furniture
493,Male,60,577244,32,142,11,24.34,0,Electronics
494,Female,18,654677,69,212,11,20.33,1,Grocery
495,Male,62,1013428,17,238,8,49.32,0,Clothing
496,Male,68,966698,8,129,23,41.15,1,Clothing
497,Male,41,668895,57,238,6,22.03,0,Clothing
498,Female,52,567216,42,65,21,36.5,0,Clothing
499,Male,41,1081515,98,55,20,13.84,0,Furniture
500,Female,34,1201442,9,14,7,5.46,1,Electronics
501,Male,22,262669,87,138,3,17.95,1,Electronics
502,Male,37,942330,35,66,8,20.45,1,Grocery
503,Male,38,430539,71,117,18,1.32,0,Electronics
504,Female,57,1170747,79,137,17,40.83,1,Furniture
505,Male,48,416150,53,126,11,18.28,1,Furniture
506,Male,63,839753,54,202,2,29.23,0,Furniture
507,Female,53,593258,84,195,25,4.16,1,Clothing
508,Male,28,,25,127,21,9.16,0,Grocery
509,Female,69,1097135,67,188,27,44.54,1,Furniture
510,Female,32,796012,62,191,24,30.63,0,Electronics
511,Male,36,1043659,55,67,19,47.54,0,
512,Female,24,874857,46,115,7,49.94,1,Electronics
513,Male,68,638029,24,93,18,18.91,0,Furniture
